,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
8094760,4339222366,2018-09-05T00:00:00,1042.0,21,,CA,201907.0,,TOYT,PA,SL,1960 BENTLEY AVE,00151,51.0,80.58L,PREFERENTIAL PARKING,68.0,6428384.378392,1838718.367245
1442137,4251515575,2015-01-29T00:00:00,1417.0,SS465,,CA,201508.0,,CHEV,PA,BK,1900 SAWTELLE BL,00111,51.0,88.03A,OUTSIDE LINES/METER,58.0,6426868.0,1838148.1
3124671,4269401603,2015-11-03T00:00:00,43.0,,,CA,201604.0,,KW,TK,WT,8206 HASKELL AVENUE,00321,53.0,80.69B,NO PARKING,73.0,6418090.1,1902740.6
2896310,4266533751,2015-09-25T00:00:00,1021.0,,,CA,201605.0,,HYUN,PA,WT,14800 DICKENS ST,00368,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6423688.3,1877605.7
8372199,4342674453,2018-10-30T00:00:00,306.0,,,CA,201810.0,,KIA,PA,WT,2542 WABASH AVE,00600,56.0,80.56E4+,RED ZONE,93.0,6500634.675945,1841368.242045
2083454,4259966233,2015-05-17T00:00:00,2223.0,64,,CA,201605.0,,HYUN,PA,BK,1551 CASSIL PLACE,00487,54.0,80.58L,PREFERENTIAL PARKING,68.0,6460611.9,1858536.7
3526178,4290018062,2016-08-03T00:00:00,2155.0,,,CA,,,CHEV,PA,BL,1101 62ND ST W,00500,55.0,80.56E4+,RED ZONE,93.0,6472631.6,1816413.3
5292142,4308333886,2017-05-20T00:00:00,2010.0,37,,CA,,,AUDI,PA,WT,7044 HAWTHORN AVE,00402,54.0,80.58L,PREFERENTIAL PARKING,68.0,6457779.848859,1859071.645022
5152963,4307009884,2017-04-24T00:00:00,1125.0,WA688,,CA,201801.0,,HOND,PA,MR,601 RAMPART BL S,465R1,54.0,88.13B+,METER EXP.,63.0,6476460.689997,1845221.988565
3517449,4288240810,2016-08-03T00:00:00,147.0,,,CA,201608.0,,FORD,PU,BK,817 ST ANDREWS PL S,00402,54.0,80.56E4+,RED ZONE,93.0,6467388.9,1853465.1
1082154,4284510790,2016-06-23T00:00:00,809.0,,,CA,201608.0,,VOLK,PA,BK,820 OCCIDENTAL BLVD N,00445,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6478832.7,1851804.1
1278797,4250135352,2015-01-02T00:00:00,827.0,,,CA,201501.0,,AUDI,PA,BK,4637 WILLIS AVE,00368,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6423940.4,1879120.1
2495881,4263756556,2015-07-22T00:00:00,1430.0,23,,CA,201508.0,,NISS,PA,GY,6800 NOBLE AVE,00361,53.0,80.58L,PREFERENTIAL PARKING,68.0,6422013.1,1893273.8
1773077,4254995253,2015-03-24T00:00:00,1914.0,LH17,,CA,201512.0,,CHEV,PU,BK,200 AVENUE 24,00632,56.0,88.13B+,METER EXP.,63.0,99999.0,99999.0
8092893,4338735030,2018-09-05T00:00:00,1235.0,,,CA,201904.0,,TOYT,PA,WT,1343 CRENSHAW BLVD,00147,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6462625.28432,1839785.0229180001
4013749,4305681671,2017-04-01T00:00:00,55.0,,,CA,201706.0,,JAGU,PA,GO,1611 BELOIT AVE,00501,51.0,80.69B,NO PARKING,73.0,6425963.733391,1839996.439127
4262640,4298141175,2016-11-16T00:00:00,2006.0,,,CA,201711.0,,SUBA,PA,GY,3900 EUREKA DRIVE,00315,53.0,80.69B,NO PARKING,73.0,6448098.692405,1872975.875904
6121296,4317227121,2017-09-09T00:00:00,1620.0,SC132,,CA,201803.0,,TOYT,PA,BK,12427 VENTURA BL,00309,53.0,88.13B+,METER EXP.,63.0,6439546.771832,1874604.839128
1873597,4256947273,2015-04-12T00:00:00,257.0,,,CA,201505.0,,NISS,PA,GN,810 HAMPTON DR,00111,51.0,80.69B,NO PARKING,73.0,6417980.3,1820367.5
6610940,4322722515,2017-12-11T00:00:00,1644.0,NH385,,FL,201711.0,,NISS,PA,RD,11201 WEDDINGTON ST,00319,53.0,88.13B+,METER EXP.,63.0,6447957.505554,1883367.799606
4327829,4298388334,2016-12-01T00:00:00,949.0,,,CA,201701.0,,VOLV,PA,MR,4429 CAMPBELL DR,00161,51.0,22502A,18 IN. CURB/2 WAY,63.0,6433505.91431503,1820420.57814506
